psraid,state,community,region,registered,oftvote,vote,sex,age,educ,racethn,marital,parent,income,party
75066,9,U,1,2, ,1,2,20,4,3, , , ,3
75067,26,S,2,1,3,1,2,25,4,3,1,2,4,3
75068,51,S,3,1,4,1,2,30,3,2,6,2,10,3
75070,34,S,1,1,2,2,1,47,4,3,1,1,8,3
75071,34,S,1,1,1,1,2,30,6,3,2,2,8,2
75072,36,S,1,1,1,1,2,44,6,1,1,1,9,2
75074,12,U,1,2, ,1,1,19,3,3, , , ,2
75075,51,R,3,1,1,2,1,68,3,1,1,2,6,3
75076,42,S,1,1,2,1,1,50,7,1,1,2,8,1
75078,36,S,1,1,1,1,1,34,5,1,1,1,6,2
75080,41,U,3,1,2,1,1,41,8,1,6,2,6,2
75083,13,U,3,1,2,1,1,40,6,1,1,1,10,2
75084,51,U,3,1,2,2,1,55,3,4,3,2,8,1
75085,24,S,3,1,1,2,1,44,4,1,1,1,7,1
75087,51,S,3,1,1,2,2,32,5,1,1,1,8,3
75088,42,S,1,1,1,1,2,57,3,2,4,2,2,2
75089,23,S,1,1,2,1,1,54,6,1,2,1,8,2
75091,13,S,3,1,1,2,2,99,4,1,5,2,4,1
75092,24,U,3,1,1,1,2,61,3,2,6,2,2,1
75095,12,U,1,1,1,2,1,76,3,1,1,2,4,3
75096,13,S,3,2, ,1,2,18,4,2, , , ,2
75100,12,S,3,1,1,1,2,62,7,1,1,2,7,2
75102,12,U,3,1,2,1,1,19,3,2,6,2,3,3
75103,39,S,2,1,2,2,1,39,6,1,1,1,7,3
75106,36,S,1,1,1,1,1,40,4,9,6,1,3,3
75107,47,U,3,2, ,1,1,28,3,1, , , ,2
75109,36,U,1,1,1,1,1,32,6,1,2,2,7,2
75112,42,U,1,1,2,2,1,33,6,1,1,1,7,1
75115,36,S,1,1,1,2,2,51,6,1,1,1,8,1
75121,13,S,3,2, ,1,2,28,3,2, , , ,2
75128,25,U,1,1,1,2,1,59,8,4,1,1,7,3
75130,25,S,1,1,6,1,1,52,3,1,2,2,6,3
75131,36,S,1,2, ,1,1,53,3,2, , , ,2
75132,34,S,1,1,5,1,1,21,3,1,6,2,10,2
75136,51,S,3,2, ,2,1,35,8,1, , , ,3
75140,26,S,2,1,2,1,1,39,7,1,1,2,3,2
75141,12,U,3,1,1,1,1,63,3,2,3,2,3,2
75144,42,S,1,1,4,3,2,26,4,1,1,1,6,3
75147,25,S,1,1,1,2,1,28,3,1,1,1,7,1
75149,51,S,3,1,5,1,1,32,6,4,1,1,9,3
75150,51,S,3,1,4,2,1,21,6,4,6,2,7,3
75151,18,U,2,1,2,2,2,44,6,1,1,1,5,3
75152,39,U,1,1,1,1,1,64,4,1,3,2,3,3
75155,34,S,1,2, ,1,1,46,4,1, , , ,2
75157,25,U,1,1,1,2,2,58,4,1,1,2,8,3
75159,39,U,2,2, ,1,2,18,4,1, , , ,3
75160,24,S,3,1,1,1,2,24,6,1,6,2,8,2
75164,42,U,1,2, ,2,2,56,3,1, , , ,2
75165,42,R,1,1,1,1,2,26,3,1,1,1,1,2
75166,13,S,3,1,2,3,1,57,6,2,1,2,4,3
75167,51,U,3,1,5,2,1,19,4,9,6,2,2,2
75170,42,U,1,1,1,2,2,72,4,1,5,2,2,1
75173,37,R,3,1,1,2,1,28,4,1,1,1,3,3
75174,34,S,1,2, ,1,1,18,2,2, , , ,3
75176,12,U,3,1,2,1,2,63,4,1,3,2,3,2
75185,42,S,1,1,2,2,2,43,6,1,1,1,7,1
75186,25,S,1,1,1,1,2,65,8,1,3,2,5,2
75187,2,,4,1,1,2,2,18,3,1,6,2,4,1
75190,48,U,3,1,2,2,1,70,5,1,1,2,7,3
75191,17,U,2,1,1,1,2,31,6,4,2,2,5,2
75193,27,R,2,1,3,1,1,32,7,1,1,1,8,3
75197,28,U,3,1,1,2,1,66,6,1,5,2,3,1
75199,48,S,3,1,1,2,2,39,6,1,1,2,8,1
75200,48,U,3,2, ,1,1,30,3,2, , , ,3
75201,48,R,3,1,1,2,2,69,4,1,1,2,5,1
75202,17,U,2,1,1,2,1,27,5,4,1,1,8,3
75203,48,R,3,1,4,2,2,23,3,1,1,2,6,3
75204,29,S,2,1,1,1,1,62,3,1,1,2,5,2
75207,21,R,3,1,1,2,1,62,5,1,1,2,8,2
75209,55,U,2,1,1,1,1,58,4,1,1,2,8,2
75210,19,R,2,1,2,1,1,50,5,1,1,2,7,3
75211,55,U,2,1,2,1,2,28,4,2,6,2,2,2
75212,22,U,3,2, ,1,2,47,2,1, , , ,2
75216,48,R,3,2, ,2,1,27,3,1, , , ,4
75217,47,S,3,2, ,1,2,56,5,4, , , ,3
75218,29,R,2,1,1,2,1,52,8,1,1,2,6,3
75219,5,S,3,1,1,2,1,39,5,1,1,2,6,1
75220,27,R,2,1,1,2,2,29,6,1,2,1,7,3
75221,48,S,3,1,3,2,1,37,6,1,1,1,7,1
75222,48,R,3,1,1,1,2,79,5,1,5,2,2,4
75223,28,R,3,2, ,1,2,50,1,1, , , ,2
75226,27,R,2,1,1,2,1,57,4,1,1,2,8,1
75227,17,U,2,2, ,1,2,40,3,3, , , ,2
75230,12,S,3,2, ,1,2,18,3,1, , , ,4
75234,22,U,3,2, ,2,1,23,4,1, , , ,3
